$ binwalk tt3720.ah-3_09-0001-tt3720.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
10213860      0x9BD9E4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/umts/suppl_services_mgr/src/stCR.cpp
10216484      0x9BE424        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/umts/suppl_services_mgr/src/stPM.cpp
10241216      0x9C44C0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/umts/suppl_services_mgr/src/ns_parser.cpp
10243108      0x9C4C24        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/umts/suppl_services_mgr/src/ssm_endec.cpp
10244916      0x9C5334        eCos RTOS string reference: "ecos_mainloop.cpp"
10246248      0x9C5868        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/wlan/wlan_paed/src/client.c
10252424      0x9C7088        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/wlan/wlan_paed/src/aes_keywrap.c
10261060      0x9C9244        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/wlan/wlan_paed/src/ie.c
10261564      0x9C943C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/wlan/wlan_paed/src/acl.c
10262936      0x9C9998        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/base/post/src/post.cpp
10267884      0x9CACEC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/base/post/src/post_thread.cpp
10268576      0x9CAFA0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/base/version/src/version_imeisv.cpp
10269968      0x9CB510        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/config/src/configcache.cpp
10270888      0x9CB8A8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/config/src/config.cpp
10276012      0x9CCCAC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/event/src/new_event.cpp
10348100      0x9DE644        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/log/error_handler/src/tt_assert.c
10351432      0x9DF348        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/log/errorlog/src/errorlog.cpp
10357136      0x9E0990        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/log/errorlog/src/cmd_at_ilog.cpp
10384984      0x9E7658        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/log/trace/src/trace_compat.c
10387052      0x9E7E6C        eCos RTOS string reference: "eCos %s running at %u.%03u MHz"
10387152      0x9E7ED0        eCos RTOS string reference: "ecos version"
10387260      0x9E7F3C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/osif/src/filesys.cpp
10387607      0x9E8097        eCos RTOS string reference: "ecos.cpp"
10387732      0x9E8114        eCos RTOS string reference: "ecos.cpp"
10387744      0x9E8120        eCos RTOS string reference: "ecos"
10389192      0x9E86C8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/timer/src/timer.cpp
10390480      0x9E8BD0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/system/bgan_ut/tt_std/tt_slog/src/tt_slog.cpp
10394829      0x9E9CCD        eCos RTOS string reference: "ecos/tt_ecos_semaphore.cpp"
10394837      0x9E9CD5        eCos RTOS string reference: "ecos_semaphore.cpp"
10396464      0x9EA330        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/fs-ecos.c
10396474      0x9EA33A        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/fs-ecos.c"
10396493      0x9EA34D        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/fs-ecos.c"
10396531      0x9EA373        eCos RTOS string reference: "ecos.c"
10398080      0x9EA980        Unix path: /home/brm/ecos-build-project/ecos/packages/kernel/current/src/intr/intr.cxx
10398090      0x9EA98A        eCos RTOS string reference: "ecos-build-project/ecos/packages/kernel/current/src/intr/intr.cxx"
10398109      0x9EA99D        eCos RTOS string reference: "ecos/packages/kernel/current/src/intr/intr.cxx"
10398166      0x9EA9D6        eCos RTOS string reference: "ecos-build-project/build-ecos-monroe/install/include/cyg/kernel/smp.hxx"
10398191      0x9EA9EF        eCos RTOS string reference: "ecos-monroe/install/include/cyg/kernel/smp.hxx"
10405216      0x9EC560        Unix path: /home/brm/ecos-build-project/ecos/packages/hal/mips/tt3710a/current/src/hal_diag.c
10405226      0x9EC56A        eCos RTOS string reference: "ecos-build-project/ecos/packages/hal/mips/tt3710a/current/src/hal_diag.c"
10405245      0x9EC57D        eCos RTOS string reference: "ecos/packages/hal/mips/tt3710a/current/src/hal_diag.c"
10405310      0x9EC5BE        eCos RTOS string reference: "ecos-build-project/ecos/packages/hal/mips/tt3710a/current/src/plf_misc.c"
10405329      0x9EC5D1        eCos RTOS string reference: "ecos/packages/hal/mips/tt3710a/current/src/plf_misc.c"
10405410      0x9EC622        eCos RTOS string reference: "eCos for Monroe Main Application compiled Aug 10 2009, 12:23:40)"
10405768      0x9EC788        Unix path: /home/brm/ecos-build-project/ecos/packages/hal/mips/tt3710a/current/src/ser16c550c.c
10405778      0x9EC792        eCos RTOS string reference: "ecos-build-project/ecos/packages/hal/mips/tt3710a/current/src/ser16c550c.c"
10405797      0x9EC7A5        eCos RTOS string reference: "ecos/packages/hal/mips/tt3710a/current/src/ser16c550c.c"
10407240      0x9ECD48        eCos RTOS string reference: "eCos_node"
10413579      0x9EE60B        Copyright string: "Copyright 1995-2005 Mark Adler "
10413868      0x9EE72C        CRC32 polynomial table, big endian
10416176      0x9EF030        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/scan.c
10416186      0x9EF03A        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/scan.c"
10416205      0x9EF04D        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/scan.c"
10417912      0x9EF6F8        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/nodelist.c
10417922      0x9EF702        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/nodelist.c"
10417941      0x9EF715        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/nodelist.c"
10418496      0x9EF940        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/debug.h
10418506      0x9EF94A        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/debug.h"
10418525      0x9EF95D        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/debug.h"
10419144      0x9EFBC8        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/nodemgmt.c
10419154      0x9EFBD2        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/nodemgmt.c"
10419173      0x9EFBE5        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/nodemgmt.c"
10419296      0x9EFC60        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/readinode.c
10419306      0x9EFC6A        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/readinode.c"
10419325      0x9EFC7D        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/readinode.c"
10422500      0x9F08E4        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/gc.c
10422510      0x9F08EE        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/gc.c"
10422529      0x9F0901        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/gc.c"
10423656      0x9F0D68        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/debug.h
10423666      0x9F0D72        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/debug.h"
10423685      0x9F0D85        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/debug.h"
10426184      0x9F1748        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/debug.h
10426194      0x9F1752        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/debug.h"
10426213      0x9F1765        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/debug.h"
10426472      0x9F1868        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/write.c
10426482      0x9F1872        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/write.c"
10426501      0x9F1885        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/write.c"
10426816      0x9F19C0        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/erase.c
10426826      0x9F19CA        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/erase.c"
10426845      0x9F19DD        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/erase.c"
10427464      0x9F1C48        Unix path: /home/brm/ecos-build-project/ecos/packages/fs/jffs2/current/src/debug.h
10427474      0x9F1C52        eCos RTOS string reference: "ecos-build-project/ecos/packages/fs/jffs2/current/src/debug.h"
10427493      0x9F1C65        eCos RTOS string reference: "ecos/packages/fs/jffs2/current/src/debug.h"
10427952      0x9F1E30        eCos RTOS string reference: "eCos"
10428248      0x9F1F58        Unix path: /home/brm/ecos-build-project/ecos/packages/kernel/current/src/common/clock.cxx
10428258      0x9F1F62        eCos RTOS string reference: "ecos-build-project/ecos/packages/kernel/current/src/common/clock.cxx"
10428277      0x9F1F75        eCos RTOS string reference: "ecos/packages/kernel/current/src/common/clock.cxx"
10486451      0xA002B3        LZMA compressed data, properties: 0x66, dictionary size: 0 bytes, uncompressed size: 10500 bytes
10588040      0xA18F88        AES S-Box
10592472      0xA1A0D8        GIF image data, version "89a", 218 x 54

