$ binwalk tt3720.ah-3_09-0001-tt3720.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
8654520       0x840EB8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/gpio/gpio_function
8657572       0x841AA4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/gps/src/gps_ublox_process.cpp
8659740       0x84231C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/gps/src/gps_ublox.c
8672968       0x8456C8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/gpio/gpio_function
8678704       0x846D30        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/gpio/gpio_function
8679760       0x847150        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/modem_tt3720/src/modem.cpp
8681888       0x8479A0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/modem_tt3720/src/debug_modem.cpp
8685904       0x848950        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/modem_tt3720/src/antenna_upload.cpp
8688280       0x849298        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/psu/src/PSU.cpp
8693236       0x84A5F4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/psu/src/PSU_shell20.cpp
8695888       0x84B050        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/satdd_main.cpp
8696816       0x84B3F0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/DSPDebug.cpp
8701412       0x84C5E4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/DebugTxBCt.cpp
8702148       0x84C8C4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/sniff_data_if.cpp
8704204       0x84D0CC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/sniff_ctrlrx_if.cpp
8705624       0x84D658        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/sniff_ctrltx_if.cpp
8706092       0x84D82C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/convf.cpp
8709388       0x84E50C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/debugcmd.cpp
8783536       0x8606B0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/GenericRxDspDebug.cpp
8785012       0x860C74        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/QuickTrace.cpp
